filename, language, Markdown, JSON, JavaScript, CSS, XML, HTML, comment, blank, total
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWiredZones.js, JavaScript, 0, 0, 1668, 0, 0, 0, 1, 58, 1727
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWiredZonesEditZone.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWirelessZones.js, JavaScript, 0, 0, 2278, 0, 0, 0, 1, 61, 2340
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWirelessZonesEditZone.js, JavaScript, 0, 0, 4295, 0, 0, 0, 91, 272, 4658
c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfo.js, JavaScript, 0, 0, 82, 0, 0, 0, 0, 20, 102
c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoDealerInfo.js, JavaScript, 0, 0, 79, 0, 0, 0, 0, 25, 104
c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoHistory.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoLicenseInfo.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoSystemInfo.js, JavaScript, 0, 0, 115, 0, 0, 0, 0, 29, 144
c:\Users\jajohnson\gc3_emulator\src\screen\SystemPairing.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemSettingsCode.js, JavaScript, 0, 0, 163, 0, 0, 0, 0, 37, 200
c:\Users\jajohnson\gc3_emulator\src\screen\SystemSettingsInstallerMenu.js, JavaScript, 0, 0, 234, 0, 0, 0, 0, 53, 287
c:\Users\jajohnson\gc3_emulator\src\screen\SystemSettingsMenu.js, JavaScript, 0, 0, 237, 0, 0, 0, 0, 54, 291
c:\Users\jajohnson\gc3_emulator\src\screen\SystemTests.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\SystemTestsConsoleTest.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemTestsSensorTest.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\Users.js, JavaScript, 0, 0, 217, 0, 0, 0, 1, 88, 306
c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditCode.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditCodeVerify.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditName.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditUser.js, JavaScript, 0, 0, 103, 0, 0, 0, 0, 33, 136
c:\Users\jajohnson\gc3_emulator\src\screen\UsersNewCode.js, JavaScript, 0, 0, 81, 0, 0, 0, 0, 17, 98
c:\Users\jajohnson\gc3_emulator\src\screen\UsersNewCodeVerify.js, JavaScript, 0, 0, 67, 0, 0, 0, 0, 13, 80
c:\Users\jajohnson\gc3_emulator\src\screen\UsersNewName.js, JavaScript, 0, 0, 534, 0, 0, 0, 0, 78, 612
c:\Users\jajohnson\gc3_emulator\src\screen\WorkInProgress.js, JavaScript, 0, 0, 23, 0, 0, 0, 0, 4, 27
c:\Users\jajohnson\gc3_emulator\src\screen\WorkInProgressHack.js, JavaScript, 0, 0, 24, 0, 0, 0, 0, 4, 28
Total, -, 134, 14332, 19055, 1311, 4, 19, 164, 2259, 37278
